rid,current_station,current_delay,date_of_service,final_delay
202401018101208,WEY,-1.0,2024-01-01,0.0
202401018101212,WEY,-1.0,2024-01-01,2.0
202401018101214,WEY,-1.0,2024-01-01,-1.0
202401018101216,WEY,0.0,2024-01-01,4.0
202401018101218,WEY,-1.0,2024-01-01,-2.0
202401018101220,WEY,-1.0,2024-01-01,-1.0
202401018102608,WEY,-1.0,2024-01-01,-3.0
202401018102610,WEY,-1.0,2024-01-01,-4.0
202401018102612,WEY,-1.0,2024-01-01,-3.0
202401018102614,WEY,-1.0,2024-01-01,-1.0
202401018102616,WEY,-1.0,2024-01-01,7.0
202401018102618,WEY,-1.0,2024-01-01,2.0
202401018142837,WEY,-1.0,2024-01-01,-3.0
202401018142838,WEY,0.0,2024-01-01,0.0
202401027622346,WEY,5.0,2024-01-02,
202401028901078,WEY,0.0,2024-01-02,
202401028901080,WEY,0.0,2024-01-02,
202401028901083,WEY,0.0,2024-01-02,
202401028901086,WEY,0.0,2024-01-02,
202401028901090,WEY,-1.0,2024-01-02,45.0
202401028901095,WEY,7.0,2024-01-02,
202401028901099,WEY,17.0,2024-01-02,
202401028901104,WEY,18.0,2024-01-02,
202401028901108,WEY,,2024-01-02,
202401028901113,WEY,,2024-01-02,
202401028901118,WEY,,2024-01-02,
202401028901123,WEY,,2024-01-02,
202401028901132,WEY,,2024-01-02,
202401028901147,WEY,-1.0,2024-01-02,
202401028901152,WEY,-1.0,2024-01-02,
202401028901157,WEY,0.0,2024-01-02,
202401028901162,WEY,1.0,2024-01-02,23.0
202401028901167,WEY,-1.0,2024-01-02,22.0
202401028901172,WEY,21.0,2024-01-02,
202401028901182,WEY,4.0,2024-01-02,
202401028901187,WEY,,2024-01-02,
202401028901192,WEY,,2024-01-02,
202401028901197,WEY,,2024-01-02,
202401028901203,WEY,,2024-01-02,
202401028901211,WEY,,2024-01-02,
202401037622346,WEY,0.0,2024-01-03,-1.0
202401038901078,WEY,-1.0,2024-01-03,-1.0
202401038901080,WEY,0.0,2024-01-03,0.0
202401038901083,WEY,1.0,2024-01-03,5.0
